Name,res_type,MSE_On_test_1,R2_1,smape_1,directed_hausdorff_1,lasso_gamma
Aizawa,Regular KFs,5.098443284167526e-07,0.9999995730491044,0.0014232864248772002,0.0407626211308697,0.0
Aizawa,Sparse KFs with gamma=0.0001,1.7168974915906452e-07,0.9999998562264008,0.0010393312546664334,0.018943314079875668,0.0001
Aizawa,Sparse KFs with gamma=0.001,2.994875725939044e-07,0.9999997512736597,0.0008019607042285332,0.021897866377526432,0.001
Aizawa,Sparse KFs with gamma=0.01,5.337771933437718e-09,0.999999995532565,0.0002646598895571667,0.0040735285813129326,0.01
Aizawa,Sparse KFs with gamma=0.1,6.328314413988902e-09,0.9999999947076237,0.0003029019763458667,0.0046231113784372,0.10000000000000002
Aizawa,Sparse KFs with gamma=1.0,1.8326271097149075e-06,0.9999984653067764,0.0022612353184164,0.05820144139931937,1.0
Aizawa,Sparse KFs with gamma=10.0,5.598770875407381e-05,0.9999531143302459,0.013414193880116767,0.32092755513840243,10.0
Aizawa,Trained Gaussian kernel,3.5699370310240894e-07,0.9999997029993754,0.0020592067659449334,0.02507825250662417,0.0
Aizawa,Random Initialization,0.8218955010785678,0.316224697623262,0.3275961455130576,43.98090050715789,0.0
Aizawa,Gaussian kernel with sigma=0.5,0.0004631321935653,0.9996146975433252,0.0021859266276061,1.285528826835474,0.0
AnishchenkoAstakhov,Regular KFs,2.0655645092977253e-07,0.9999998338478759,0.0006075749794915334,0.03966576005479813,0.0
AnishchenkoAstakhov,Sparse KFs with gamma=0.0001,1.6055945448609987e-08,0.999999987084744,8.124932580750276e-05,0.006515577735852734,0.0001
AnishchenkoAstakhov,Sparse KFs with gamma=0.001,1.4500813343379329e-08,0.9999999881196525,0.00015684942187467807,0.008749170435162367,0.001
AnishchenkoAstakhov,Sparse KFs with gamma=0.01,4.506450814304145e-08,0.9999999633349929,0.00032431672062376666,0.017378052460746068,0.01
AnishchenkoAstakhov,Sparse KFs with gamma=0.1,1.715812494063333e-07,0.9999998616932103,0.0005064441749432776,0.025207538125921764,0.10000000000000002
AnishchenkoAstakhov,Sparse KFs with gamma=1.0,2.274782088459207e-07,0.9999998170186047,0.0003421603459770333,0.027140966156865936,1.0
AnishchenkoAstakhov,Sparse KFs with gamma=10.0,9.154375991253491e-08,0.999999926256412,0.00040169083403363335,0.022961500193648968,10.0
AnishchenkoAstakhov,Trained Gaussian kernel,1.3816577472506497e-06,0.9999989314947234,0.0009167677456315,0.055855848425512396,0.0
AnishchenkoAstakhov,Random Initialization,1518.3747392309458,-1173.2353878076324,0.4984754622541766,481.8184865871887,0.0
AnishchenkoAstakhov,Gaussian kernel with sigma=0.5,0.0027095255814255,0.9979045878861952,0.0015542926660137,2.2373141529540024,0.0
Arneodo,Regular KFs,6.274249184812842e-05,0.9999315361925021,0.008671035447844967,0.4084917028981056,0.0
Arneodo,Sparse KFs with gamma=0.0001,1.5665724206662044e-09,0.9999999983229523,9.108820705239099e-05,0.0033730046905058333,0.0001
Arneodo,Sparse KFs with gamma=0.001,1.420044526130422e-06,0.9999984504655105,0.0012480501114921667,0.05325392075106724,0.001
Arneodo,Sparse KFs with gamma=0.01,3.066885946426784e-07,0.9999996795166783,0.0021591310156261665,0.0376728015736848,0.01
Arneodo,Sparse KFs with gamma=0.1,3.223399334565077e-07,0.9999996483479676,0.0004974657236131334,0.0324758258223086,0.10000000000000002
Arneodo,Sparse KFs with gamma=1.0,7.254703197601324e-08,0.9999999210884144,0.00021257841650776667,0.019141908257216633,1.0
Arneodo,Sparse KFs with gamma=10.0,2.408887341106804e-08,0.999999975814324,0.0006538132622054333,0.0099339516766872,10.0
Arneodo,Trained Gaussian kernel,2.9268988063989734e-07,0.9999997490008591,0.0010696118349899334,0.0245701284202931,0.0
Arneodo,Random Initialization,46.609308137394834,-38.970279392947134,0.3052111259640673,62.27698761305179,0.0
Arneodo,Gaussian kernel with sigma=0.5,1.0766861039696908e-06,0.9999990766770392,0.0007953385051393,0.047175370556537,0.0
ArnoldBeltramiChildress,Regular KFs,6.403477419659948e-07,0.9999993226680454,0.0013585350990603668,0.0413946171433525,0.0
ArnoldBeltramiChildress,Sparse KFs with gamma=0.0001,2.3453939619397257e-05,0.9999757014853586,0.0048139372810823335,0.22126237981748823,0.0001
ArnoldBeltramiChildress,Sparse KFs with gamma=0.001,5.098080579432724e-07,0.999999469062025,0.0016538046733707002,0.04023544453914003,0.001
ArnoldBeltramiChildress,Sparse KFs with gamma=0.01,6.157594662165076e-07,0.9999993747233281,0.0015959199712755666,0.047185673741932534,0.01
ArnoldBeltramiChildress,Sparse KFs with gamma=0.1,7.443421447673849e-06,0.9999922881794965,0.0039300713138761,0.1324330472711122,0.10000000000000002
ArnoldBeltramiChildress,Sparse KFs with gamma=1.0,2.9047695725518782e-06,0.9999970762849095,0.003619919288527566,0.08110051647447956,1.0
ArnoldBeltramiChildress,Sparse KFs with gamma=10.0,0.000311490936724512,0.9996706167876175,0.025901648363350568,0.7313879850585501,10.0
ArnoldBeltramiChildress,Trained Gaussian kernel,6.56846231530027e-07,0.9999993615796939,0.0016449979911815,0.03503472230801787,0.0
ArnoldBeltramiChildress,Random Initialization,232.86028907531107,-225.32806567820344,0.4801060596748016,310.4632870058456,0.0
ArnoldBeltramiChildress,Gaussian kernel with sigma=0.5,5.300612095558488e-07,0.999999484808128,0.0004557358670187,0.0477978382327134,0.0
ArnoldWeb,Regular KFs,4.714292750110086e-05,0.9999983737114059,0.001908052381787,0.41300758344926675,0.0
ArnoldWeb,Sparse KFs with gamma=0.0001,2.4427928409670775e-05,0.9999991573102593,0.0015020494498636002,0.34334513900139996,0.0001
ArnoldWeb,Sparse KFs with gamma=0.001,3.9625170810109174e-05,0.9999986330513028,0.0025820872208304336,0.419281193635716,0.001
ArnoldWeb,Sparse KFs with gamma=0.01,4.5926392491143373e-05,0.9999984559093766,0.0029910398212974667,0.45966590444821764,0.01
ArnoldWeb,Sparse KFs with gamma=0.1,3.2369482569631005e-05,0.9999989042714909,0.0017936689467173666,0.38676784824536964,0.10000000000000002
ArnoldWeb,Sparse KFs with gamma=1.0,1.715741390307882e-05,0.9999994268282756,0.0012338395773387667,0.2948513507359502,1.0
ArnoldWeb,Sparse KFs with gamma=10.0,1.7251986756899164e-05,0.9999994283729204,0.0014775228165665002,0.29096594761324185,10.0
ArnoldWeb,Trained Gaussian kernel,11.813920972794032,0.604462179895367,0.5073114237158989,268.8010806422062,0.0
ArnoldWeb,Random Initialization,4373.618976664325,-145.43163095316763,0.4652094378923423,736.9808408819324,0.0
ArnoldWeb,Gaussian kernel with sigma=0.5,4.772596951356166,0.840210324859573,0.2420228200879494,171.40642196375757,0.0
