Name,res_type,MSE_On_test_1,R2_1,smape_1,directed_hausdorff_1,lasso_gamma
Aizawa,Sparse KFs with gamma=0.01,5.337771933437718e-09,0.999999995532565,0.0002646598895571667,0.0040735285813129326,0.01
AnishchenkoAstakhov,Sparse KFs with gamma=0.0001,1.6055945448609987e-08,0.999999987084744,8.124932580750276e-05,0.006515577735852734,0.0001
Arneodo,Sparse KFs with gamma=0.0001,1.5665724206662044e-09,0.9999999983229523,9.108820705239099e-05,0.0033730046905058333,0.0001
ArnoldBeltramiChildress,Trained Gaussian kernel,6.56846231530027e-07,0.9999993615796939,0.0016449979911815,0.03503472230801787,0.0
ArnoldWeb,Sparse KFs with gamma=10.0,1.7251986756899164e-05,0.9999994283729204,0.0014775228165665002,0.29096594761324185,10.0
AtmosphericRegime,Sparse KFs with gamma=10.0,3.7234488245351975e-05,0.9999773410818836,0.0047463743430723,0.4191154203412803,10.0
BeerRNN,Sparse KFs with gamma=0.01,2.6098814127734975e-06,0.9999995083023624,0.00020745156530176668,0.10051280757407983,0.01
BelousovZhabotinsky,Sparse KFs with gamma=0.01,7.083669232904555e-07,0.999999999987908,0.0002150442984408011,0.061384487803021665,0.01
BickleyJet,Sparse KFs with gamma=0.001,5.677543592692736e-08,0.9999999854428152,0.0005004377270280124,0.016814201186651435,0.001
Blasius,Sparse KFs with gamma=0.0001,8.897386551799005e-09,0.9999999958737714,8.354768770758916e-05,0.006186218384966466,0.0001
BlinkingRotlet,Trained Gaussian kernel,0.0001367385277018684,0.9998748875087836,0.009587915382855966,0.6625941214451855,0.0
BlinkingVortex,Trained Gaussian kernel,0.00012994282760429396,0.9998592122783507,0.017322735080219535,0.6177527026067672,0.0
Bouali,Sparse KFs with gamma=0.1,3.2286320164275463e-07,0.9999998540105749,0.0004428110895744835,0.037772222542099894,0.10000000000000002
Bouali2,Sparse KFs with gamma=10.0,1.9694832920874085e-08,0.9999999911692278,3.298204965037589e-05,0.012883342703073035,10.0
BurkeShaw,Sparse KFs with gamma=0.0001,6.253749916053913e-09,0.9999999936073132,0.0001305227586195755,0.005077662749890267,0.0001
CaTwoPlus,Sparse KFs with gamma=0.1,6.788955862943845e-08,0.999999993703952,2.0129592242032745e-05,0.0157340528113751,0.10000000000000002
CaTwoPlusQuasiperiodic,Sparse KFs with gamma=0.1,8.24296775301984e-08,0.9999999882320134,4.6758925982762766e-05,0.0176430259068886,0.10000000000000002
CellCycle,Sparse KFs with gamma=10.0,6.238244694629954e-07,0.9999995948145414,5.750138115670778e-05,0.049440555466902826,10.0
CellularNeuralNetwork,Gaussian kernel with sigma=0.5,9.018337462587969e-08,0.999999911761224,0.0004993010344476,0.0131934425614396,0.0
Chen,Sparse KFs with gamma=0.001,8.931517129167346e-09,0.9999999977364141,0.00018150775050223333,0.0067988201980007336,0.001
ChenLee,Sparse KFs with gamma=0.0001,1.1218499048810648e-08,0.9999999956032832,0.00038018046121281597,0.006245138868676,0.0001
Chua,Gaussian kernel with sigma=0.5,8.30441075213302e-08,0.999999919543794,0.0003882757896936,0.012211237531731,0.0
CircadianRhythm,Sparse KFs with gamma=0.0001,1.654485953594128e-07,0.9999998824047532,0.0010862761749185332,0.0450253639443157,0.0001
CoevolvingPredatorPrey,Trained Gaussian kernel,2.7281853517117333e-06,0.9999992193040694,0.0035355067796834666,0.0766532420979732,0.0
Colpitts,Sparse KFs with gamma=0.001,1.3053772368608892e-06,0.9999999439936289,0.00018045280558241618,0.08618887442976314,0.001
Coullet,Regular KFs,8.413547649678008e-08,0.9999999207968701,0.0002117088814475,0.021467546068055603,0.0
Dadras,Sparse KFs with gamma=0.1,7.103656951964611e-07,0.9999993357362872,0.0009297133685526,0.05672731978166313,0.10000000000000002
DequanLi,Sparse KFs with gamma=0.001,2.9562403401234666e-09,0.9999999984042494,7.99656049124347e-05,0.0035861170190858,0.001
DoubleGyre,Sparse KFs with gamma=0.0001,4.636115631939446e-08,0.9999999728642807,0.00013250830397676478,0.013568157884865468,0.0001
DoublePendulum,Sparse KFs with gamma=1.0,6.145928340174904e-05,0.99993894630305,0.006169077778130367,0.6197673758770312,1.0
Duffing,Sparse KFs with gamma=0.1,5.183113553492041e-09,0.9999999947556302,0.0001828318439844,0.006436698850394901,0.10000000000000002
ExcitableCell,Sparse KFs with gamma=0.0001,7.430581605584578e-07,0.9999999990667162,1.626846359529557e-05,0.06390142327973196,0.0001
Finance,Sparse KFs with gamma=0.0001,1.543869248792256e-08,0.9999999980891263,0.00016242160356752216,0.0085066372378194,0.0001
FluidTrampoline,Sparse KFs with gamma=0.0001,7.179577411414513e-08,0.999999924082061,0.0001161004046247023,0.022667986648010497,0.0001
ForcedBrusselator,Sparse KFs with gamma=10.0,1.0887243179049554e-07,0.9999999879108948,0.0001222032228348574,0.02313541843007393,10.0
ForcedFitzHughNagumo,Trained Gaussian kernel,4.5027874090550275e-07,0.9999996905300496,0.0015323226509115,0.030448277441548835,0.0
ForcedVanDerPol,Sparse KFs with gamma=1.0,9.332281985755321e-06,0.9999905833096973,0.0036241425326997002,0.19951480039017047,1.0
GenesioTesi,Sparse KFs with gamma=0.0001,5.481878050385827e-08,0.9999999554116826,0.00023711617368163334,0.010859267141767034,0.0001
GuckenheimerHolmes,Sparse KFs with gamma=0.0001,1.1532930084574884e-08,0.9999999890128196,0.0002795655766478,0.006471336405309068,0.0001
Hadley,Sparse KFs with gamma=0.0001,2.278714896933087e-09,0.9999999985878948,0.00011860872495596666,0.003184677953092067,0.0001
