System,Optimization method,Metric,Value
Aizawa,Regular KFs,MSE,5.098443284167526e-07
Aizawa,Regular KFs,Hausdorff Distance,0.0407626211308697
Aizawa,Regular KFs,SMAPE,0.0014232864248772
Aizawa,Sparse KFs with gamma=0.0001,MSE,1.7168974915906454e-07
Aizawa,Sparse KFs with gamma=0.0001,Hausdorff Distance,0.0189433140798756
Aizawa,Sparse KFs with gamma=0.0001,SMAPE,0.0010393312546664
Aizawa,Sparse KFs with gamma=0.001,MSE,2.994875725939044e-07
Aizawa,Sparse KFs with gamma=0.001,Hausdorff Distance,0.0218978663775264
Aizawa,Sparse KFs with gamma=0.001,SMAPE,0.0008019607042285
Aizawa,Sparse KFs with gamma=0.01,MSE,5.337771933437718e-09
Aizawa,Sparse KFs with gamma=0.01,Hausdorff Distance,0.0040735285813129
Aizawa,Sparse KFs with gamma=0.01,SMAPE,0.0002646598895571
Aizawa,Sparse KFs with gamma=0.1,MSE,6.328314413988902e-09
Aizawa,Sparse KFs with gamma=0.1,Hausdorff Distance,0.0046231113784372
Aizawa,Sparse KFs with gamma=0.1,SMAPE,0.0003029019763458
Aizawa,Sparse KFs with gamma=1.0,MSE,1.8326271097149077e-06
Aizawa,Sparse KFs with gamma=1.0,Hausdorff Distance,0.0582014413993193
Aizawa,Sparse KFs with gamma=1.0,SMAPE,0.0022612353184164
Aizawa,Sparse KFs with gamma=10.0,MSE,5.598770875407381e-05
Aizawa,Sparse KFs with gamma=10.0,Hausdorff Distance,0.3209275551384024
Aizawa,Sparse KFs with gamma=10.0,SMAPE,0.0134141938801167
Aizawa,Trained Gaussian kernel,MSE,3.5699370310240894e-07
Aizawa,Trained Gaussian kernel,Hausdorff Distance,0.0250782525066241
Aizawa,Trained Gaussian kernel,SMAPE,0.0020592067659449
Aizawa,Random Initialization,MSE,0.8218955010785678
Aizawa,Random Initialization,Hausdorff Distance,43.98090050715789
Aizawa,Random Initialization,SMAPE,0.3275961455130576
Aizawa,Gaussian kernel with sigma=0.5,MSE,0.0004631321935653
Aizawa,Gaussian kernel with sigma=0.5,Hausdorff Distance,1.285528826835474
Aizawa,Gaussian kernel with sigma=0.5,SMAPE,0.0021859266276061
AnishchenkoAstakhov,Regular KFs,MSE,2.0655645092977253e-07
AnishchenkoAstakhov,Regular KFs,Hausdorff Distance,0.0396657600547981
AnishchenkoAstakhov,Regular KFs,SMAPE,0.0006075749794915
AnishchenkoAstakhov,Sparse KFs with gamma=0.0001,MSE,1.6055945448609987e-08
AnishchenkoAstakhov,Sparse KFs with gamma=0.0001,Hausdorff Distance,0.0065155777358527
AnishchenkoAstakhov,Sparse KFs with gamma=0.0001,SMAPE,8.124932580750276e-05
AnishchenkoAstakhov,Sparse KFs with gamma=0.001,MSE,1.4500813343379329e-08
AnishchenkoAstakhov,Sparse KFs with gamma=0.001,Hausdorff Distance,0.0087491704351623
AnishchenkoAstakhov,Sparse KFs with gamma=0.001,SMAPE,0.0001568494218746
AnishchenkoAstakhov,Sparse KFs with gamma=0.01,MSE,4.5064508143041454e-08
AnishchenkoAstakhov,Sparse KFs with gamma=0.01,Hausdorff Distance,0.017378052460746
AnishchenkoAstakhov,Sparse KFs with gamma=0.01,SMAPE,0.0003243167206237
AnishchenkoAstakhov,Sparse KFs with gamma=0.1,MSE,1.715812494063333e-07
AnishchenkoAstakhov,Sparse KFs with gamma=0.1,Hausdorff Distance,0.0252075381259217
AnishchenkoAstakhov,Sparse KFs with gamma=0.1,SMAPE,0.0005064441749432
AnishchenkoAstakhov,Sparse KFs with gamma=1.0,MSE,2.274782088459207e-07
